Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;05 Ávila;1 de enero de 2020;158.895
Ambos sexos;Total;05 Ávila;1 de enero de 2010;173.370
Ambos sexos;Total;05 Ávila;1 de enero de 2000;165.615
Ambos sexos;Total;05 Ávila;1 de enero de 1990;176.093
Ambos sexos;Total;05 Ávila;1 de enero de 1980;186.496
Ambos sexos;Total;05 Ávila;1 de enero de 1971;211.556
Ambos sexos;Total;09 Burgos;1 de enero de 2020;355.693
Ambos sexos;Total;09 Burgos;1 de enero de 2010;374.005
Ambos sexos;Total;09 Burgos;1 de enero de 2000;349.386
Ambos sexos;Total;09 Burgos;1 de enero de 1990;355.311
Ambos sexos;Total;09 Burgos;1 de enero de 1980;363.788
Ambos sexos;Total;09 Burgos;1 de enero de 1971;361.180
Ambos sexos;Total;24 León;1 de enero de 2020;459.236
Ambos sexos;Total;24 León;1 de enero de 2010;494.823
Ambos sexos;Total;24 León;1 de enero de 2000;495.743
Ambos sexos;Total;24 León;1 de enero de 1990;527.374
Ambos sexos;Total;24 León;1 de enero de 1980;529.356
Ambos sexos;Total;24 León;1 de enero de 1971;562.758
Ambos sexos;Total;34 Palencia;1 de enero de 2020;159.906
Ambos sexos;Total;34 Palencia;1 de enero de 2010;171.894
Ambos sexos;Total;34 Palencia;1 de enero de 2000;176.371
Ambos sexos;Total;34 Palencia;1 de enero de 1990;186.491
Ambos sexos;Total;34 Palencia;1 de enero de 1980;189.637
Ambos sexos;Total;34 Palencia;1 de enero de 1971;201.530
Ambos sexos;Total;37 Salamanca;1 de enero de 2020;331.081
Ambos sexos;Total;37 Salamanca;1 de enero de 2010;350.901
Ambos sexos;Total;37 Salamanca;1 de enero de 2000;347.751
Ambos sexos;Total;37 Salamanca;1 de enero de 1990;360.031
Ambos sexos;Total;37 Salamanca;1 de enero de 1980;366.687
Ambos sexos;Total;37 Salamanca;1 de enero de 1971;380.134
Ambos sexos;Total;40 Segovia;1 de enero de 2020;154.205
Ambos sexos;Total;40 Segovia;1 de enero de 2010;163.174
Ambos sexos;Total;40 Segovia;1 de enero de 2000;147.623
Ambos sexos;Total;40 Segovia;1 de enero de 1990;147.859
Ambos sexos;Total;40 Segovia;1 de enero de 1980;151.306
Ambos sexos;Total;40 Segovia;1 de enero de 1971;162.105
Ambos sexos;Total;42 Soria;1 de enero de 2020;89.892
Ambos sexos;Total;42 Soria;1 de enero de 2010;94.987
Ambos sexos;Total;42 Soria;1 de enero de 2000;91.270
Ambos sexos;Total;42 Soria;1 de enero de 1990;95.478
Ambos sexos;Total;42 Soria;1 de enero de 1980;102.842
Ambos sexos;Total;42 Soria;1 de enero de 1971;117.462
Ambos sexos;Total;47 Valladolid;1 de enero de 2020;520.737
Ambos sexos;Total;47 Valladolid;1 de enero de 2010;530.503
Ambos sexos;Total;47 Valladolid;1 de enero de 2000;497.332
Ambos sexos;Total;47 Valladolid;1 de enero de 1990;494.805
Ambos sexos;Total;47 Valladolid;1 de enero de 1980;474.600
Ambos sexos;Total;47 Valladolid;1 de enero de 1971;413.024
Ambos sexos;Total;49 Zamora;1 de enero de 2020;171.661
Ambos sexos;Total;49 Zamora;1 de enero de 2010;193.751
Ambos sexos;Total;49 Zamora;1 de enero de 2000;201.777
Ambos sexos;Total;49 Zamora;1 de enero de 1990;216.104
Ambos sexos;Total;49 Zamora;1 de enero de 1980;231.721
Ambos sexos;Total;49 Zamora;1 de enero de 1971;258.528
